"Time (s) Run #1","Position (m) Run #1"
37.000,0.5513
37.050,0.5766
37.100,0.5965
37.150,0.6108
37.200,0.6191
37.250,0.6234
37.300,0.6172
37.350,0.6069
37.400,0.5905
37.450,0.5690
37.500,0.5424
37.550,0.5117
37.600,0.4777
37.650,0.4395
37.700,0.4025
37.750,0.3664
37.800,0.3318
37.850,0.2975
37.900,0.2696
37.950,0.2447
38.000,0.2272
38.050,0.2159
38.100,0.2110
38.150,0.2127
38.200,0.2208
38.250,0.2352
38.300,0.2550
38.350,0.2828
38.400,0.3129
38.450,0.3486
38.500,0.3843
38.550,0.4208
38.600,0.4592
38.650,0.4944
38.700,0.5268
38.750,0.5555
38.800,0.5795
38.850,0.5984
38.900,0.6117
38.950,0.6190
39.000,0.6200
39.050,0.6168
39.100,0.6035
39.150,0.5863
39.200,0.5637
39.250,0.5364
39.300,0.5053
39.350,0.4711
39.400,0.4330
39.450,0.3964
39.500,0.3602
39.550,0.3239
39.600,0.2927
39.650,0.2658
39.700,0.2421
39.750,0.2253
39.800,0.2154
39.850,0.2117
39.900,0.2144
39.950,0.2236
40.000,0.2384
40.050,0.2621
40.100,0.2883
40.150,0.3189
40.200,0.3548
40.250,0.3905
40.300,0.4272
40.350,0.4652
40.400,0.4998
40.450,0.5317
40.500,0.5595
40.550,0.5827
40.600,0.6006
40.650,0.6126
40.700,0.6208
40.750,0.6188
40.800,0.6123
40.850,0.5999
40.900,0.5818
40.950,0.5585
41.000,0.5306
41.050,0.4988
41.100,0.4642
41.150,0.4261
41.200,0.3899
41.250,0.3540
41.300,0.3184
41.350,0.2879
41.400,0.2599
41.450,0.2388
41.500,0.2241
41.550,0.2152
41.600,0.2127
41.650,0.2164
41.700,0.2268
41.750,0.2425
41.800,0.2649
41.850,0.2941
41.900,0.3254
41.950,0.3615
42.000,0.3973
42.050,0.4339
42.100,0.4717
42.150,0.5055
42.200,0.5365
42.250,0.5634
42.300,0.5854
42.350,0.6023
42.400,0.6134
42.450,0.6177
42.500,0.6169
42.550,0.6095
42.600,0.5961
42.650,0.5772
42.700,0.5532
42.750,0.5247
42.800,0.4927
